date,close1,close2,normalizedLogClose1,normalizedLogClose2,alpha,beta,spread
2016-06-17,32.245,7.535,-0.941406652101811,-1.8788777080843742,0.45587030019171965,-0.576142560402773,0.49126045310891586
2016-06-20,31.835,7.655,-1.1398969953244984,-1.7523764622819018,0.5349582237042914,-0.4606212658247193,0.2581724700237572
2016-06-21,31.595,7.505,-1.2572760764604214,-1.910817809437911,0.58666034132988,-0.39849714047072066,0.2622220923143576
2016-06-22,31.805,8.295,-1.1545208956577184,-1.109518802426338,0.6943902570677141,-0.24271163429051906,-0.14137021492891227
2016-06-23,32.705,8.265,-0.7216924953933281,-1.1385271969171746,0.8063391842898405,-0.08944425866177924,0.2857908545224443
2016-06-24,29.275,7.415,-2.440228327293631,-2.00740982966037,0.9711359275251752,0.15471975850656372,-0.6454802789498174
2016-06-27,25.935,6.825,-4.319248639454805,-2.671233928733239,1.1252255105309348,0.3649456978582707,-1.6784537761066618
2016-06-28,27.665,6.755,-3.3176256300797555,-2.753773918754243,1.3879220032647732,0.7339829826724755,-0.22958519889655715
2016-06-29,28.405,7.055,-2.9081778851588083,-2.4058708969637594,1.5063431507587253,0.8838178959764491,-0.1679286338841477
2016-06-30,32.025,7.275,-1.0475977668356038,-2.1600193700366503,1.5533348513770604,0.9257278253710951,1.3819077749207525
2016-07-01,31.545,7.145,-1.2818422559242075,-2.304381125180803,1.5493144647730923,0.9073307038831951,1.3810380497853094
2016-07-05,30.755,6.985,-1.6752423202845732,-2.4857065397421416,1.4896585218266765,0.814318380046973,1.2132932293556355
2016-07-06,30.895,6.885,-1.604794460469247,-2.601156386192034,1.4141304425430987,0.6846628513535484,1.3889171197067527
2016-07-07,31.195,7.085,-1.454903626102478,-2.3718978270881736,1.3106941868224742,0.5237863356281296,1.1301427319707196
2016-07-08,32.725,7.265,-0.7122099442979692,-2.1710321752405695,1.257187086867469,0.45473073059835784,1.562452940989909
2016-07-11,33.225,7.365,-0.4770108590911175,-2.0615799153398813,1.196546689594002,0.3717861589330188,1.6179796050092818
2016-07-12,33.685,7.735,-0.26373301267605703,-1.6691392408644046,1.1583973210311034,0.33557927192028014,1.3342141404488785
2016-07-13,33.365,7.835,-0.41178921183163053,-1.566295076316516,1.146525266130054,0.32501028085940525,1.058997386520951
2016-07-14,33.475,7.835,-0.360735333549095,-1.566295076316516,1.1694559467809273,0.3886299838757063,1.0823477739872347
2016-07-15,33.555,7.755,-0.32371050326777984,-1.6484644504965429,1.1944605653312532,0.4662191794590967,1.179096096741698
2016-07-18,33.945,7.725,-0.14446933350884864,-1.6794966913656688,1.2124386723696086,0.527433396545408,1.364384008674285
2016-07-19,33.875,7.345,-0.17648868351024347,-2.083350990946377,1.2309778260377169,0.5985428176799543,1.7895273725184968
2016-07-20,34.605,7.595,0.15422157171738426,-1.815377244705901,1.1817066148683766,0.558548993177859,1.740915877090016
2016-07-21,34.005,7.525,-0.11707668626391272,-1.88951025695234,1.1702803234526868,0.5862637769051967,1.5079162115042446
2016-07-22,34.905,7.515,0.2881117640492633,-1.9001569448522215,1.1432770930046854,0.5795114685596754,1.8810062036528998
2016-07-25,35.385,7.715,0.49996082714387513,-1.689867558257343,1.1075815023324864,0.5665371860482094,1.8050896900132642
